# name                           rah         dech        velmin velmax shif 
  AGC224602                      12:10:03.30 +11:42:48.3 2517.0 2597.0 0.42 
  AGC224696                      12:10:38.04 +13:01:20.0 2358.0 2430.0 0.56 
  AGC224241                      12:12:01.15 +10:23:53.9 1579.0 1695.0 0.87 
  AGC224507                      12:12:42.73 +12:45:47.0 1651.0 1829.0 0.55 
  AGC224807                      12:13:09.60 +13:35:05.3 2026.0 2174.0 0.69 
  AGC224487                      12:14:12.05 +12:46:59.1 534.2  691.8  0.68 
  AGC224705                      12:14:44.53 +12:47:22.9 2237.0 2321.0 0.39 
  AGC224248                      12:14:53.50 +09:40:11.8 1662.0 1724.0 0.34 
  AGC224249                      12:15:27.29 +10:30:44.5 1928.0 2052.0 0.83 
  AGC224251                      12:16:34.04 +10:12:22.8 2025.0 2119.0 0.91 
  AGC224385                      12:16:49.98 +13:30:14.4 -130.6 -41.38 0.45 
  AGC221988N                     12:17:27.40 +07:19:46.0 2090.0 2314.0 1.68 
  AGC224489                      12:17:28.07 +12:55:56.0 1997.0 2115.0 0.62 
  AGC226127                      12:18:00.32 +08:09:55.0 1916.0 2084.0 0.87 
  AGC224316                      12:18:04.30 +14:45:11.0 1719.0 1807.0 0.48 
  AGC225058                      12:18:17.99 +07:07:41.0 2649.0 2753.0 0.54 
  AGC225059                      12:19:07.51 +07:38:03.5 2623.0 2729.0 0.53 
  AGC224273                      12:20:48.86 +05:58:54.0 1732.0 1812.0 0.32 
  AGC226131                      12:21:13.25 +10:37:32.7 2571.0 2641.0 0.51 
  AGC227958                      12:23:18.38 +05:36:25.5 1647.0 1927.0 0.9  
  AGC226326                      12:23:58.24 +07:27:01.0 1172.0 1286.0 0.66 
  AGC225022                      12:24:05.05 +08:17:38.0 1316.0 1424.0 1.13 
  AGC224232                      12:25:31.56 +11:09:29.9 860.6  939.4  0.36 
  AGC226357                      12:27:12.82 +07:38:23.4 1138.0 1220.0 1.28 
  AGC223724                      12:29:33.61 +13:11:44.6 994.9  1435.0 2.43 
  AGC227861                      12:29:59.50 +08:25:54.5 565.1  652.9  0.49 
  AGC224281                      12:30:42.00 +05:52:43.8 2284.0 2380.0 0.57 
  AGC227967N                     12:30:44.40 +05:50:06.0 2271.0 2421.0 0.82 
  AGC224516                      12:35:24.39 +05:02:53.5 1767.0 1843.0 0.46 
  AGC225847                      12:38:56.82 +13:33:05.3 948.2  1016.0 1.15 
  AGC742572                      12:43:54.12 +16:32:50.6 1226.0 1350.0 0.67 
  AGC229323                      12:44:51.86 +16:25:06.2 886.9  1009.0 1.35 
  AGC225876N                     12:44:59.30 +12:01:28.0 1501.0 1579.0 0.65 
  AGC226178N                     12:46:43.30 +10:20:49.0 1551.0 1611.0 0.62 
  AGC223205                      12:51:06.83 +12:03:35.8 1751.0 1823.0 2.02 
  AGC223247                      12:53:11.59 +12:38:06.3 1776.0 1862.0 2.24 
  N4651                          12:43:42.63 +16:23:36.2 514.2  1074.0 57.2 
#  IC3806                         12:48:55.36 +14:54:28.4 0.0    0.0    0.0  
  N4710                          12:49:38.83 +15:09:55.6 899.1  1359.0 0.84 
  N4746                          12:51:55.36 +12:04:58.7 1573.0 2097.0 17.4 
#  N12:10:32.04+14:29:23.3        12:10:32.04 +14:29:23.3 0.0    0.0    0.0  
#  N12:11:41.96+13:11:47.2        12:11:41.96 +13:11:47.2 0.0    0.0    0.0  
#  N12:11:46.82+12:29:37.6        12:11:46.82 +12:29:37.6 0.0    0.0    0.0  
#  N12:13:13.68+13:31:22.1        12:13:13.68 +13:31:22.1 0.0    0.0    0.0  
#  N12:13:17.45+13:09:22.8        12:13:17.45 +13:09:22.8 0.0    0.0    0.0  
#  N12:13:41.26+14:05:44.3        12:13:41.26 +14:05:44.3 0.0    0.0    0.0  
#  N12:14:19.88+13:27:06.6        12:14:19.88 +13:27:06.6 0.0    0.0    0.0  
#  N12:14:43.05+10:31:59.3        12:14:43.05 +10:31:59.3 0.0    0.0    0.0  
#  N12:15:56.12+15:24:16.8        12:15:56.12 +15:24:16.8 0.0    0.0    0.0  
#  N12:16:12.71+07:27:21.6        12:16:12.71 +07:27:21.6 0.0    0.0    0.0  
#  N12:16:20.63+14:46:26.9        12:16:20.63 +14:46:26.9 0.0    0.0    0.0  
#  N12:18:45.13+06:15:47.4        12:18:45.13 +06:15:47.4 0.0    0.0    0.0  
#  N12:19:28.67+17:13:49.8        12:19:28.67 +17:13:49.8 0.0    0.0    0.0  
#  N12:20:20.16+09:47:49.5        12:20:20.16 +09:47:49.5 0.0    0.0    0.0  
#  N12:20:30.91+06:38:23.9        12:20:30.91 +06:38:23.9 0.0    0.0    0.0  
#  N12:21:38.39+08:46:37.5        12:21:38.39 +08:46:37.5 0.0    0.0    0.0  
#  N12:21:47.10+05:59:20.8        12:21:47.10 +05:59:20.8 0.0    0.0    0.0  
#  N12:22:04.61+07:44:22.0        12:22:04.61 +07:44:22.0 0.0    0.0    0.0  
#  N12:22:50.78+14:44:12.8        12:22:50.78 +14:44:12.8 0.0    0.0    0.0  
#  N12:24:31.28+06:29:16.7        12:24:31.28 +06:29:16.7 0.0    0.0    0.0  
#  N12:24:35.32+06:01:58.8        12:24:35.32 +06:01:58.8 0.0    0.0    0.0  
#  N12:24:54.85+16:48:38.9        12:24:54.85 +16:48:38.9 0.0    0.0    0.0  
#  N12:25:35.33+05:22:51.4        12:25:35.33 +05:22:51.4 0.0    0.0    0.0  
#  N12:25:41.33+13:02:51.8        12:25:41.33 +13:02:51.8 0.0    0.0    0.0  
#  N12:26:38.88+16:43:03.4        12:26:38.88 +16:43:03.4 0.0    0.0    0.0  
#  N12:27:26.96+05:11:16.9        12:27:26.96 +05:11:16.9 0.0    0.0    0.0  
